BB Name,BB Tags(s),Functional Clusters,Layer,Known Implementation,ID (unique name),Description,Rationale,Governance Applicable S-BB(s),Compose BB(s),What is needed to Design and Implement,What is needed to build and run,Non-Functional Requirements,Dependencies to other Clusters,Vehicle API Relevant,Author/Company,Priority,Related Project(s),Availability of Source Code,Availability of API,Potential obstacles,Maturity Badges,Expert Discussion Status,What is needed to design and implement,Dependencies to other clusters,Vehicle API relevant,Author/Company + Prio,Related project(s),Availability of code,Reference to FEDERATE SDV repository - Open Toolchain(s),Availability of Code,Availability of Api
Local Update Manager,BB-SC,Configuration,,"- AUTOSAR: UCS - but not OSS-usable - higher-level: Eclipse Ankaios, Eclipse Kanto, Eclipse Symphony, Eclipse BlueChi",,"A Local update manager is a local instance of an (OTA) Update master. It is meant to be deployed and operated on distributed vehicle network nodes. It must provide a similar, but limited functionality compared to the OTA master. It shall be able to manage locally backup storage and rollback of software controlled by the OTA Master. The local update manager may become necessary as the OTA master will not or just with complex implementations (which may interfere with the network capabilities and the overall in-vehicle security) be able to deploy SW updates across the vehicle network within a zonal architecture. The Local update manager will deploy/install software in a dedicated local area of the vehicle network under control of the update master. It will ensure also local API for memory control and security services control.","The local update manager may become a ""must-have"" within server/zone architectures to retain the capability to deploy SW updates end-to-end. Especially when there is the need to separate zones for safety/security reasons, the local update manager will be mandatory.",TDB,,,,,,,Conti,High,,,,,,,,,,,,,,,
OTA Master,BB-SC,Configuration,MWLayer,"- AUTOSAR: UCS - but not OSS-usable - higher-level: Eclipse Ankaios, Eclipse Kanto, Eclipse Symphony, Eclipse BlueChi",,"The OTA master is a central SWC to deploy OTA SW updates within the vehicle network. Besides the basic functionality of SW installation, it implements the necessary failsafe or failover behavior to ensure the robustness of the update process (such as backup and rollover mechanism). In addition, it must manage and verify the integrity of the installed SW after it has been transferred from the backend, potentially even before installing the SW. It also coordinates local OTA salves distributed in the vehicle, by self-contained interface and command control. As a prerequisite for a successful update, the update master has also to be capable to read the vehicle configuration and control reprogramming history.","Existing, IoT based implementations of OTA Master will not carry over to zonal architectures as they - if ever - have limited ability to deploy SW across servers and zone controllers within the vehicle network. Scaling is an issue as well, as those solutions usually need continuous backend connection during the update process, thus demanding a highly scalable, costly backend infrastructure to deploy SW updates OTA for a bigger fleet. A UCM Master enables the use of standardized interfaces and Software components for OTA updates within upcoming EE architectures. A POSIX based update master can be a reasonable replacement in non-AUTOSAR environments when it implements the same basic mechanism as an UCM master.",OTA master POSIX   OTA master ASR Adaptive (UCM Master),,,,,,,Conti,High,,,,,,,,,,,,,,,
Policy Manager,BB-SC,Diagnostics,MWLayer,,,"Diagnostic service applications are interpreted as the diagnostic services according to ISO 14229. Define service at vehicle level to control different access level or different permission. Each level requires previous authentication, where authentication, can remain vehicle specific.",Establish a common concept,ISO 14229,,,,,,,Conti,Low,,,,,,in discussion,,,,,,,,,
Distributed Health Management,BB-SC,Platform Health Management,MWLayer,<https://opentelemetry.io>,,"Distributed health management like state management must be orchestrated in states through the SW Partitions, subsystems, and systems as well as the reaction to ""unhealthiness"" of the system. Define services and hierarchy of services to handled cascading of failure detection and recovery to easily integrate safety concept.","Services is tightly coupled to the safety concept, which is depending on the hardware capabilities and the functional safety goals. Therefore, the concrete instantiation of a distributed health management concept is highly product specific, but the infrastructure how to exchange health information and how to trigger status changes could be standardized.",AUTOSAR Classic   AUTOSAR Adaptive,,,,,,,Conti,Low,,,,,,,,,,,,,,,
Watchdog,BB-SC,Platform Health Management,MWLayer,,,"Extend the traditional concept of watchdog concept (stack for external chip regular activation, deadline monitoring, alive supervision, and logical program flow supervision) to inter ECU operation in conjunction to Health Management.","Watchdog is classically an ECU safety topic. For logical supervision and mitigation between ECUs the concept must be rethought, as AUTOSAR services enables only partial control.",AUTOSAR Classic,,,,,,,Conti,Low,,,,,,,,,,,,,,,
Power Management Coordination,BB-SC,Power Management,MWLayer,,,"Control the handling of vehicle power in various ECU by provides generic services for handling power up and power down phases of the vehicles, to manage vehicle power transition phase and energy efficiency. It handles decision for power control based on electronic dependency and power cascading sequence. It is usually a multi-layer approach, where states are managed locally for each SW partition, for each sub system and for the complete vehicle system It is multi-layer approach    For Linux systems, systemd and how it can help with this concern is probably a highly interesting topic to investigate for this BB.",Unified solution to facilitates integration of vehicle power management feature.,,,,,,,,Conti,High,,,,,,,,,,,,,,,
Diagnostic Services Applications,BB-SC,Runtime,MWLayer,,,"Diagnostic service applications are interpreted as the diagnostic services according to ISO 14229. Some of the service implementations are application specific like routines, data identifiers and DTCs, but at least generic hook must be defined. This includes in future also the connection to the Offboard by service orientedVehicle Diagnostic (SOVD).",SOVD should be standardized working with ISO 14229.,AUTOSAR Classic   AUTOSAR Adaptive   ASAM SOVD,,,,,,,Conti,Medium,,,,,,,,,,,,,,,
State Management,BB-SC,Runtime,MWLayer,Eclipse Piccolo,,"The State management is responsible for the start of the system ""car"" and the coordinated start and stop of sub systems and partitions depending on different operation modes of the vehicle. It is usually a multi-layer approach, where states are managed locally for each SW partition, for each sub system and for the complete vehicle system.",Align vehicle operation modes that are orchestrated via proper state management. The benefit is to standardize states for applications that can then be compatible with different vehicle manufacturer.,TDB,,,,,,,Conti,High,,,,,,,,,,,,,,,
Crypto Service Manager,BB-SC,Security,MWLayer,,,Define the APIs and sequence routines for the security algorithms used by applications to access to low level hardware and/or software. Ensure that access of security routines can be run remotely.,Standardization facilitating integration at the ECU level.,AUTOSAR Classic   AUTOSAR Adaptive,,,,,,,Conti,High,,,,,,,,,,,,,,,
Internet Protocol Security,BB-SC,Security,MWLayer,,,"Define ""IPSec"" a protocol used for internet key exchange, authentication header and encapsulating security payload.",Establish a common concept.,Internet IPSec,,,,,,,Conti,Low,,,,,,in discussion,,,,,,,,,
Intrusion Detection,BB-SC,Security,MWLayer,,,Define services to react on the events recorded by the Security event manager to security violations. IDS and IDPS (Intrusion detection and prevention system) are both considered here.,Establish a common concept,AUTOSAR,,,,,,,Conti,Low,,,,,,,,,,,,,,,
Secure Onboard Communication,BB-SC,Security,MWLayer,,,Define secure communication between different ECU. This includes messages signed messages with a hash (CMAC) and a counter information to be able to detect security violations (like replay attacks etc.). These services need to applied for different communication protocol common at the vehicle level to be aligned for set of secure communication routines.,Extend the concept of AUTOSAR SecOC with a common implementation at the vehicle level.,AUTOSAR SecOC,[BB_SecOS](/BB-SC/MWLayer/Communication/BB_SecOS.md),,,,,,Conti,High,,,,,,,,,,,,,,,
Security Event Manager,SC-BB,Security,MWLayer,,,Management of security related incidents (e.g. violations) and the according reaction for the overall vehicle. Define a catalogue of security events and standardize the message for security event distribution in the subsystem / system.,ECU local and system wise concepts is necessary for propagate local security observations to vehicle wide security event manager(s).,AUTOSAR Classic,,,,,,,Conti,High,,,,,,,,,,,,,,,
Security Transport Layer,BB-SC,,## BB Tags(s)  BB-SC  ## Functional Clusters  Security  ## Layer  MWLAyer,,,"Define transport layer security and datagram transport layer security, as both part of the transport layer and therefore not visible on application layer (maybe except some detected security violations). Need to align all the standard. Standardization could be used on which version of TLS/dTLS to be used and reactions on security violations.",Establish a common concept,Internet TLS,,,,,,,Conti,Low,,,,,,,,,,,,,,,
Vehicle Data Collector,BB-SC,Storage,MWLayer,<https://github.com/eclipse-sdv-blueprints/insurance> <https://github.com/eclipse-sdv-blueprints/fleet-management>,,"A component in the vehicle which selects data of interest and uploads it to the cloud. It has access to most of the data in the car and selects by filters (AI based or rule based). Typically, the filters are modified by the cloud to enable campaigns in order to collect specific amount of data e.g. for monetization purposes. It shall support control of access services and access right",Standardized methods and services to access in vehicle data,TDB,,,,,,,Conti,High,,,,,,,,,,,,,,,
Vehicle Data Persistency,BB-SC,Storage,MWLayer,,,"Services for management of distributed persistent data for compatible with the different operating system (AUTOSAR Classic, Adaptive, Linux, ...) Define a high-level service capable to be mapped to the low-level API existing of OS in use in automotive. Control of robustness and refresh of standard functionality according to hardware solution. It also includes supervision of consumption and resource control (to ensure reliability of the system)","Standardized high level service for distributing persistent data on operating system and being able to be used by advance feature (data collector, Shadowing, digital twins…)",AUTOSAR   Linux,,,,,,,Conti,Medium,,,,,,,,,,,,,,,
Vehicle Logging and Recording,BB-SC,Storage,MWLayer,OpenTelemetry,,"A component in the vehicle which selects data of interest and uploads it to the cloud. It has access to most of the data in the car and selects by filters (AI based or rule based). Typically, the filters are modified by the cloud to enable campaigns in order to collect specific amount of data e.g. for monetization purposes. It shall support control of access services and access right","One method known is the diagnostic log and trace (""Dlt"") which could be used to trace and log via any bus any information with a common time reference that is instrumented in the SW code. It may address also offboard debugging enabled by commonly used tool for dump and performance analysis. Additionally other concepts for logging that are also quite intrusive like Xcp based are established.",AUTOSAR DLT   AUTOSAR XCP,,,,,,,Conti,High,,,,,,,,,,,,,,,
Time Service,BB-SC,Time,MWLayer,,,"Define the source as a service, modulating software time based on local ECU physical Timer channel on the chip counting time even when vehicle is off.   Control the system time as time between different SW Partitions, subsystems, and systems to have a *global* valid time (selection of most accurate over several source, including diagnosis, etc..) as well as the exchange of time information between subsystems",Harmonization of global time interpretation by standardized protocols in the ECU architecture,AUTOSAR-Classic   AUTOSAR Adaptive   Linux/Android Time,,,,,,,Conti,High,,,,,,,,,,,,,,,
Key Management System,BB-SC,Tools and Methods,MWLayer,,,"Define services for management of the keys for the ECU, subsystem, and system (secure storage, secure distribution, secure key handling). Keys have to be managed ECU local, subsystem wide and car system wide.","To be align with various HW existing solution (HSM, TEE, etc..)",AUTOSAR SecOc,,,,,,,Conti,Medium,,,,,,,,,,,,,,,
Automotive Edge Runtime,BB-SC,Time,OSLayer,Eclipse Leda AutoSD (RHIVOS),,"A runtime in the vehicle that executes workloads, typically defined by the cloud. The component can be orchestrated to manage workloads across multiple partitions or high-performance-computers. Scheduling can be static or dynamic (during runtime of the vehicle). Workloads are typically packaged as containers according to cloud native standards. There should be performance, check point analysis and means to control the container. It is recommended to applies it only for non-safety HPC partitions for non-safety functions.  interesting things to look at:  - web assembly (wasm) runtimes",Being able to upload container to execute function inside HPC in a standardized way (dynamic behavior and interface),Eclipse SDV,,,,,,,Conti,High,,,,,,,,,,,,,,,
Shadowing,BB-SC-TC,Testing,MWLayer,,,"A system working passively in the background that uses recorded data and input from sensors and cameras in the car to make its own hypothetical driving decisions. These hypothetical driving decisions are then compared to the decisions the (human) driver of the car makes. Both the recorded data and the comparison are used, amongst others, to discover unthought of edge and corner cases, and to evaluate and demonstrate the safety of autonomous functionalities. Proposal for standardization of recording services, comparison services, and process execution services are standardized in conjunction data collector and orchestrator. The rest seems to be added value of the functionality.  A digital shadow mirrors the current state and behavior of a physical entity or system.",The use of shadowing during development (and potentially even during operation) of vehicles can enhance the ADAS algorithm/configuration development which will otherwise mostly be based on artificial test data and test drives. Shadowing will support the improvement of the vehicles in the field and enhance the safety of the users.,TDB,,,,,,,,,,,,,,,,,,,,,,,
Standardization of Vehicle API,S-BB,,AppLayer,,,This work package aims to create a standardized application programming interface (API) for vehicles to facilitate consistent and efficient communication between different vehicle systems and external applications.,"The existing vehicle API landscape is disparate and proprietary, leading to compatibility challenges and obstructing cross-platform app development. The work package aims to create a universal vehicle API standard to simplify third-party app integration, enhance system interoperability across manufacturers, and foster a dynamic developer ecosystem. This standardization is expected to spur innovation and the creation of advanced automotive features and services. Enabling a wide range of applications, from vehicle diagnostics to thirdparty service integration, such as insurance or smart city infrastructure.",AUTOSAR Vehilce-2-X Spes,"Reference Implementation should support REST API, …",Standardized Vehicle API,,,,,Anonymous,,,,,,,in discussion,,,,,,,,,
Standardized Architectural Patterns for Cross Platform Data Service Infrastructure,S-BB,,AppLayer,,,"This work package aims to develop standardized architectural patterns for a data service infrastructure that encompasses data storage, access, synchronization, and other related functionalities across different platforms.","The lack of standardized architectural patterns for data services leads to inefficiencies, compatibility issues, and increased complexity in crossplatform data handling. This work package aims to establish a set of standardized, scalable, and adaptable architectural patterns applicable to various platforms for data services including storage, access, and synchronization. The solution enhances interoperability and efficiency of data services across platforms, reduces complexity, and simplifies integration processes.    Example usage: integration and operation of various software and hardware components within software-defined vehicles, ensuring consistent and efficient data communication across the vehicle's entire digital ecosystem.",,,Standardized architectural patterns for data service infrastructure and data management,,,,,Anonymous,,,,,,,,,,,,,,,,
Standardized Description of Data from Related Domains,S-BB,,AppLayer,,,"of Data from Related Domains  ## BB Tags(s)  S-BB  ## Functional Clusters   ## Layer  AppLayer  ## Known Implementation  ## ID (unique name)  ## Description  This work package focuses on developing a standardized framework for describing data from varied domains like people and the environment, ensuring uniformity, interoperability, and enhanced analytical capabilities.","Current data description practices are inconsistent across domains such as people and the environment, leading to challenges in data integration and analysis. This work package aims to create a standardized set of data description protocols and formats applicable to these and other domains, which helps to facilitates easier data integration, enhances the accuracy of cross-domain analyses, and streamlines data management.    Example usage: Data Integration",,,Standardized data description model form related domains,,,,,Anonymous,,,,,,,,,,,,,,,,
Standardized Procedure and Tooling for Combining Data from Different Domains,S-BB,,AppLayer,,,"This package aims to establish a standardized approach and develop tools for integrating and harmonizing data from diverse domains within the software-defined vehicle environment, ensuring effective data utilization and analysis.","Currently, combining data from different domains is challenging due to diverse formats and standards, leading to inefficiencies and potential data loss. This work package aims to establish a unified set of procedures and tools designed for effective data integration across diverse domains to improved data integration and management, enhanced accuracy and consistency in data analysis, and streamlined workflows.  Example usage: Insight Generation Daily route, Smart Window",,,Standardized tools and procedures for data integration across diverse domains,,,,,Anonymous,,,,,,,,,,,,,,,,
Standardized Procedure and Tooling for Modelling Data from Different Domains,S-BB,,AppLayer,,,"Developing a standardized methodology and toolkit for data modeling in the software-defined vehicle domain, ensuring consistency, compatibility, and efficiency in data handling and analysis.","In the context of software-defined vehicles, this work package standardizes data modeling to enhance integration and streamline development, thus supporting advanced, data-driven automotive applications.    Example usage: Employing cross-domain data modeling for automotive manufacturers, technology developers, and research institutions focused on software defined vehicles",,,Standardized Methodology/Workflow and Tooling,,,,,Anonymous,,,,,,,,,,,,,,,,
Legally binding formats for data exchange,S-BB,,MWLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOA,S-BB,,MWLayer,Eclipse uProtocol,,"Service oriented communication allows services to communicate between ECUs with each other in the vehicle typically by publish-subscribe mechanism. Typically this is enabled by middleware framework implementing a service protocol (SOME/IP, DDS,..) and providing necessary interface connectors in various programming languages.",Standardization of SOA communication services across different vehicle manufacturer,TDB,,,,,,,Conti,High,,,,,,,,,,,,,,,
sSOA,S-BB,,MWLayer,,,Framework services for service-oriented architecture allowing security by design with security mechanism tight to the services (i.e. authentication of allowed service users etc.)  This needs to be tied in with the actual service mesh implementation - suggest that Eclipse uProtocol would be a good place for this topic.,Get standardized solution whereas today each vehicle manufacturers bring its solution.,AUTOSAR SCREIAM,,,,,,,Conti,Medium,,,,,,,,,,,,,,,
Standardized authentication of vehicle users,S-BB,,MWLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardize cloud services to support international roaming of vehicles,S-BB,,MWLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardized Data Conversion Tools for Info-Knowledge Layers,S-BB,,s  ## BB Tags(s)  S-BB  ## Functional Clusters   ## Layer  MWLayer,,,"This package aims to develop and standardize tools for converting data between the information layer (focusing on raw data collection and storage) and the knowledge layer (centered on processing data into actionable insights), ensuring accuracy and efficiency in data transformation.","This work package addresses the inefficiencies and incompatibilities in current data conversion methods between the information and knowledge layers, which often lead to data loss or misinterpretation. The goal is to develop standardized tools for effective and accurate data conversion, streamlining processing, reducing misinterpretation risks, and enhancing overall efficiency. This will improve data analysis quality and decision making by ensuring precise transformation of raw data into actionable knowledge.    Example usage: Insight Generation",,,"Standardized tools for data conversion, streamlining processing, reducing misinterpretation risks, and enhancing overall efficiency",,,,,Anonymous,,,,,,,,,,,,,,,,
"Standardized Data Description for Vehicle Sensors, Attributes, and Actuators",S-BB,None,MWLayer,,,"for Vehicle Sensors, Attributes, and Actuators  ## BB Tags(s)  S-BB  ## Functional Clusters  None  ## Layer  MWLayer  ## Known Implementation  ## ID (unique name)  ## Description  Establishing a standardized framework for describing the data from vehicle sensors, attributes, and actuators within the automotive data architecture.","Inconsistencies and lack of standardization in sensor data can lead to inefficiencies in data integration and usage across automotive systems. Developing a standardized schema for data description that can be adopted industry-wide. Streamlined integration of sensor data, improved interoperability between systems and components, reduced development costs.",<https://www.autosar.org/fileadmin/standards/R23-11/AP/AUTOSAR_AP_SWS_SensorInterfaces.pdf>,,,,,,,Anonymous,,,,,,,,,,,,,,,,
Standardized data formats for digital twins,S-BB,,MWLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadardized HD maps formats and services,S-BB,,MWLayer,[HERE](https://www.here.com),,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardized way for Reasoning on Data Streams,S-BB,,,,,"This work package is dedicated to the development of a standardized framework for the analysis and reasoning of data streams within the knowledge layer of software-defined vehicles (SDVs). It aims to establish a unified approach for processing and interpreting the vast and continuous data generated by various vehicle sensors and systems. The framework is designed to enhance the efficiency and accuracy of data processing, ensuring that the knowledge layer effectively translates raw data into actionable insights. This is critical for real-time decision-making in SDVs, impacting areas such as autonomous driving, predictive maintenance, and adaptive system responses.","Currently, the lack of a standardized method for interpreting data streams in the knowledge layer of SDVs leads to inefficiencies and potential inaccuracies in decision-making. The work package aims to create a comprehensive framework that standardizes the analysis and reasoning process of data streams in the knowledge layer of SDVs to Improve precision and speed in data interpretation, enhance real-time decision making in vehicle systems, and increase reliability and safety in vehicle performance.    Example usage: Insight Generation (Daily User Trip, Services, Entertainment)",,,Standardized framework the analysis and reasoning of data streams within the knowledge layer of software-defined vehicles (SDVs).,,,,,Anonymous,,,,,,,,,,,,,,,,
Central database of vehicle failures and incidents,BB-CSC,Not specified,Not specified,,,"Support for a central (potentially government-sponsored) database of vehicle failures and incidents. Similar to an accident database, but of non-accident issues only.",,,,,,,,,,,,,,,,,,,,,,,,,
Central traffic manager,BB-CSC,Not specified,Not specified,,,Coordinates vehicles in traffic. Could lead to reduced sensor costs.,,,,,,,,,,,,,,,,,,,,,,,,,
Collect street data,BB-CSC,Not specified,Not specified,,,"Precise HD maps, codition, temporary blockages,… Extending services like Waze",,,,,,,,,,,,,,,,,,,,,,,,,
Location-based services,BB-CSC,Not specified,Not specified,,,"Supports drivers; manages, monitors, displays location-based info lie parking, zoning, chargers,…",,,,,,,,,,,,,,,,,,,,,,,,,
(insert name of BB),BB-CSC,Not specified,Not specified,,,Offloading of certain tasks from in-vehice to cloud resources (if criticality and timing constraints allow it),,,,,,,,,,,,,,,,,,,,,,,,,
Remote driving,BB-CSC,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote Vehicle Interaction,BB-SC,"Communication, Vehicle Service endpoint definitions Security","MWLayer, AppLayer",- Eclipse Companion App blueprint: <https://github.com/eclipse-sdv-blueprints/companion-application>,,"The Goal of this use case cluster is systems abstractions and capabilities related to the (remote) interaction of a vehicle owner/driver with in-vehicle functionality. This includes basic remote function calling for features like HVAC control or charging behavior but can extend to complex scenarios around managing authentication and access for keyless access or ride sharing. The initial scope and goal can be a set of functional capabilities needed to implement a typical driver companion (mobile) app, similar to what is included in state-of-the-art product offerings in the market. The following key aspects are written from the point of view of an in-vehicle SDV Software stack. This use case cluster is focusing on data and data flows that are not hard real-time critical, and do not have safety implications beyond basic ASIL QM.","- Use unified semantics for vehicle interaction - e.g. based on COVESA VSC and uServices, with mechatronics abstraction happening as low in the stack as possible. - Employ software infrastructure for features like driver settings/profile management, synchronized between in-vehicle, backend and mobile domains . - Involve considerations around authentication and verification between service and application interaction in such a framework - access control, permissions, usage profiles, trust, etc.",,,,,,- Middleware - Communication,- [COVESA uServices](https://github.com/COVESA/uservices),- Daniel Krippner/ETAS GmbH,- High,- [COVESA uServices](https://github.com/COVESA/uservices) - Eclipse uProtocol - Eclipse SDV Companion App Blueprint - Eclipse SDV Fleet Management Blueprint,,,,,,,,,,,,,yes,yes
Universal Service Mesh,BB-SC,Communication,MWLayer,- Eclipse uProtocol: <https://projects.eclipse.org/projects/automotive.uprotocol>,,"The Goal of this use case cluster is a universal service mesh for connecting services and data sinks/sources across the entire SDV landscape: from the embedded mechantronics domain to the high-compute and connectivity units in vehicles, to backend services and end-user applications. This is the software communication infrastructure that enables almost every higher-level and user-facing use case.  The following key aspects are written from the point of view of an in-vehicle SDV Software stack. This use case cluster is focusing on data and data flows that are not hard real-time critical, and do not have safety implications beyond basic ASIL QM.","- Use commonly used definition language for service interfaces, as a joint source of truth for all involved technology domains - Employ modularized architecture that enables the inclusion of all kinds of transport-layer protocols, for instance MQTT, Eclipse Zenoh, Android Binder, potentially AUTOSAR SOME/IP, and more - Support pub/sub and request/response communication across the entire service mesh scope and all involved entities - Provide cross-domain integration for service discovery, data subscription and digital twin capabilities - Include considerations around authentication and verification between service and application interaction in such a framework - access control, permissions, usage profiles, trust, etc",,"Link to AUTOSAR SOME/IP protocol, other middleware- and protocol implementations, digital twin concepts, security concepts",,,,- Middleware - Security - Communication,- [COVESA uServices](https://github.com/COVESA/uservices),- Daniel Krippner/ETAS GmbH,- High,- [COVESA uServices](https://github.com/COVESA/uservices) - Eclipse uProtocol - Eclipse SDV Companion App Blueprint - Eclipse SDV Fleet Management Blueprint,,,,,,,,,,,,,yes,yes
Vehicle Fleet Data,BB-SC,"Communication, Storage, Security","MWLayer, AppLayer",- Eclipse Fleet Management blueprint: <https://github.com/eclipse-sdv-blueprints/fleet-management>,,"The Goal of this use case cluster is systems, abstractions and capabilities related to the extraction of data from the in-vehicle mechatronics domains. This includes both higher layers of abstraction and processing in in-vehicle SDV Software stacks, as well as routing to off-board systems (backend, mobile, etc). More specific use cases in this cluster might initially address commercial fleet management (FMS) functionality (where bespoke use cases and related data needs are generally well known, and joint definition work is already ongoing e.g. in COVESA). The following key aspects are written from the point of view of an in-vehicle SDV Software stack. This use case cluster is focusing on data and data flows that are not hard real-time critical, and do not have safety implications beyond basic ASIL QM.","- Use modularized approach for mechatronics data ingest - details of source network stacks and transport protocols need to be encapsulated and isolated from the downstream high-compute domain, and be configurable/extensible via high-compute modules - Employ unified semantics abstraction for downstream use cases - mechatronics data is bespoke to the source platform and its use by downstream consumers cannot scale without semantic unification at the point where the data enters the high-compute domain   - Provide extensibility wrt algorithmic/storage/querying/etc functionality - extending a solution with synthetic sensors, new data-related capabilities like storage/query infrastructure, and so on - Include considerations around authentication and verification between service and application interaction in such a framework - access control, permissions, usage profiles, trust, etc",,,,,,- Middleware - Communication,- [COVESA VSS](https://covesa.github.io/vehicle_signal_specification/),- Daniel Krippner/ETAS GmbH,- High,- [COVESA VSS](https://covesa.github.io/vehicle_signal_specification/) - [W3C VISS](https://github.com/COVESA/vehicle-information-service-specification) - Eclipse Kuksa - Eclipse uProtocol - Eclipse SDV Companion App Blueprint - Eclipse SDV Insurance Data Blueprint,,,,,,,,,,,,,yes,yes
